                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1538,                 2.8645,                 2.0566,                0.21319,                 0.4382,                0.19767,                0.09348,                 1.6153,                 2.5401,                 1.5547,               0.070882,              0.0032353,              0.0032353
                      1,                 1.2273,                 1.8644,                 1.3854,                0.36003,                0.62079,                0.37349,                0.25145,                 1.0595,                 1.6308,                 1.1812,               0.040861,               0.006547,               0.006547
                      2,                 1.1577,                 1.7105,                 1.2916,                0.34603,                0.38202,                0.28259,                0.16774,                 1.4349,                 1.9846,                  1.457,               0.010817,              0.0098366,              0.0098366
                      3,                 1.2015,                 1.6292,                 1.3079,                0.27628,                0.53371,                0.24453,                0.12469,                 1.4673,                 3.3186,                 1.6457,               0.009901,               0.009901,               0.009901
                      4,                 1.1784,                 1.5772,                 1.2986,                0.27904,                0.55618,                0.28067,                0.15902,                 1.2767,                 3.6021,                 1.5088,               0.009901,               0.009901,               0.009901
                      5,                 1.1602,                 1.5261,                 1.2873,                0.45876,                0.52381,                 0.4427,                0.26034,                 1.4022,                 1.6184,                   1.44,               0.009868,               0.009868,               0.009868
                      6,                 1.1258,                 1.5031,                 1.2897,                0.26365,                 0.7191,                0.25838,                0.16172,                 1.1759,                 2.4742,                 1.4098,               0.009835,               0.009835,               0.009835
                      7,                 1.1217,                 1.4878,                 1.2863,                0.40354,                0.66854,                0.48294,                0.32556,                 1.0883,                 1.6237,                 1.2276,               0.009802,               0.009802,               0.009802
                      8,                 1.0855,                 1.4618,                 1.2516,                0.46323,                0.55618,                0.47446,                0.33205,                  1.056,                 1.7317,                 1.2204,               0.009769,               0.009769,               0.009769
                      9,                  1.076,                 1.4682,                 1.2789,                0.39549,                0.51404,                0.37251,                0.24401,                 1.1997,                 1.6854,                 1.3445,               0.009736,               0.009736,               0.009736
                     10,                  1.046,                 1.4449,                 1.2476,                0.41695,                0.66292,                0.44957,                0.31669,                 1.0087,                 1.5181,                 1.2123,               0.009703,               0.009703,               0.009703
                     11,                 1.0408,                 1.3969,                 1.2414,                0.49751,                0.53676,                0.47688,                0.33886,                0.94013,                 1.3824,                 1.1528,                0.00967,                0.00967,                0.00967
                     12,                  1.019,                 1.4229,                 1.2308,                0.42574,                0.60674,                0.48619,                0.35688,                0.93834,                  1.507,                 1.1013,               0.009637,               0.009637,               0.009637
                     13,                 1.0294,                 1.4236,                 1.2286,                0.46534,                0.59653,                0.48505,                0.36021,                0.88501,                 1.4023,                 1.0918,               0.009604,               0.009604,               0.009604
                     14,                 0.9956,                 1.3691,                 1.2216,                0.43544,                0.65449,                0.49299,                0.35649,                0.96711,                  1.408,                 1.1889,               0.009571,               0.009571,               0.009571
                     15,                0.97531,                 1.3344,                 1.2094,                0.52817,                0.57303,                 0.5206,                0.38527,                0.91282,                 1.3786,                 1.1037,               0.009538,               0.009538,               0.009538
                     16,                0.96591,                  1.355,                 1.2095,                0.52123,                0.60393,                0.54171,                0.40854,                0.89206,                 1.2528,                 1.0928,               0.009505,               0.009505,               0.009505
                     17,                 0.9564,                 1.3473,                 1.1989,                0.42195,                0.68258,                0.49708,                0.35941,                0.91448,                 1.3651,                 1.0981,               0.009472,               0.009472,               0.009472
                     18,                0.94723,                 1.3209,                 1.1968,                0.45851,                0.68258,                0.52914,                0.39693,                0.84625,                 1.2625,                 1.0617,               0.009439,               0.009439,               0.009439
                     19,                 0.9458,                 1.3125,                 1.2125,                 0.4553,                0.65449,                0.52821,                0.40258,                0.86497,                 1.2803,                 1.0762,               0.009406,               0.009406,               0.009406
