               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096345,            0.023828,                   0,             0.12779,             0.38202,             0.11313,            0.027954,            0.072331,            0.013628,                   0,              0.0016,              0.0016,              0.0856
                   1,            0.068709,            0.023942,                   0,             0.23677,             0.45225,             0.21422,            0.075497,            0.074224,            0.012583,                   0,           0.0032869,           0.0032869,            0.070287
                   2,            0.062284,            0.021604,                   0,             0.24858,             0.39045,             0.21267,            0.072936,            0.068219,           0.0088906,                   0,           0.0049604,           0.0049604,             0.05496
                   3,            0.055025,            0.020444,                   0,             0.20316,              0.5751,              0.1978,             0.06648,            0.057477,           0.0076944,                   0,           0.0066204,           0.0066204,             0.03962
                   4,            0.053446,            0.019757,                   0,             0.18315,             0.54213,             0.14772,            0.033374,            0.060106,           0.0078772,                   0,           0.0082669,           0.0082669,            0.024267
                   5,            0.050725,             0.01868,                   0,              0.2806,              0.5927,             0.29122,             0.12388,            0.052344,           0.0081161,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.047354,            0.018024,                   0,              0.2984,              0.6882,             0.29663,             0.12326,            0.054981,           0.0073683,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.044052,            0.017883,                   0,             0.39348,             0.53758,             0.37768,             0.13742,            0.046477,           0.0070368,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,             0.04214,             0.01792,                   0,             0.34696,             0.64888,             0.35864,             0.17702,            0.043926,           0.0070709,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.039908,            0.017911,                   0,             0.37268,             0.63483,             0.40009,              0.2035,            0.040594,           0.0068682,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.040368,             0.01751,                   0,             0.39659,             0.59831,             0.43894,             0.22931,            0.043916,           0.0066906,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.038798,            0.017471,                   0,             0.42342,             0.61798,             0.48723,             0.27065,            0.043577,           0.0061702,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.039107,            0.017319,                   0,             0.39266,             0.66854,             0.45423,             0.27458,             0.03838,           0.0061648,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.037554,            0.016848,                   0,             0.53983,             0.62611,              0.5407,             0.30051,            0.041054,           0.0059466,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.037591,              0.0167,                   0,             0.56285,             0.66908,             0.58578,             0.32036,            0.043698,            0.005665,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.036017,            0.016614,                   0,             0.55504,             0.70787,             0.60164,             0.38905,             0.03716,           0.0055112,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.035663,            0.015651,                   0,             0.39246,             0.72472,             0.46013,             0.27854,            0.044349,            0.006149,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.034994,            0.015913,                   0,             0.53263,             0.66292,             0.59325,              0.3692,            0.035933,            0.005507,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.034698,            0.015468,                   0,             0.53162,             0.66953,             0.61484,             0.33116,            0.039465,           0.0052053,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.034063,            0.015597,                   0,             0.46755,             0.68539,             0.56651,             0.34169,            0.043108,           0.0054773,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.034301,            0.015717,                   0,             0.55707,             0.64326,             0.60259,             0.39442,            0.036339,           0.0053872,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,             0.03437,            0.014992,                   0,             0.48103,             0.67416,             0.52789,             0.34771,            0.037635,           0.0057394,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.033641,            0.015445,                   0,             0.57518,              0.6573,             0.64497,              0.4336,            0.040353,            0.005861,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.033691,            0.015075,                   0,              0.6035,             0.66292,             0.64008,             0.42379,            0.036205,           0.0057094,                   0,           0.0091288,           0.0091288,           0.0091288
