               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096789,            0.023581,                   0,            0.097937,             0.45506,                 0.1,            0.024418,            0.071907,            0.013794,                   0,              0.0016,              0.0016,              0.0856
                   1,            0.069448,            0.023526,                   0,             0.19534,             0.48034,             0.20076,             0.06779,            0.060272,            0.011134,                   0,           0.0032891,           0.0032891,            0.070289
                   2,            0.060528,            0.021426,                   0,             0.20772,             0.42416,             0.19098,              0.0507,            0.076188,            0.010145,                   0,            0.004967,            0.004967,            0.054967
                   3,            0.054294,            0.019703,                   0,              0.2278,             0.55618,             0.23849,            0.083709,            0.059202,           0.0076342,                   0,           0.0066337,           0.0066337,            0.039634
                   4,            0.051677,            0.019144,                   0,             0.29264,             0.50562,             0.27959,             0.10655,            0.055387,           0.0066852,                   0,           0.0082891,           0.0082891,            0.024289
                   5,            0.049095,            0.018493,                   0,             0.35003,             0.57584,             0.33943,             0.16106,            0.054719,           0.0078715,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.046671,            0.018241,                   0,             0.29149,             0.70506,             0.29336,             0.12247,            0.051504,            0.007389,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.043471,            0.017327,                   0,             0.39242,              0.6882,             0.43174,             0.21135,            0.043462,           0.0062115,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.040229,              0.0175,                   0,             0.43624,             0.61297,             0.51665,             0.27497,            0.041098,           0.0061145,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.041273,            0.016496,                   0,             0.52602,             0.56742,             0.53131,             0.25535,            0.041407,           0.0061263,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.040053,            0.017104,                   0,             0.46143,             0.64326,             0.53658,             0.27196,            0.040415,           0.0061599,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.038191,            0.017034,                   0,             0.50145,              0.6131,              0.5311,             0.27428,            0.039763,           0.0062535,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.037123,            0.016451,                   0,             0.43438,             0.65795,             0.49338,              0.2966,            0.040991,           0.0058193,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.037328,            0.016134,                   0,             0.48862,             0.68258,              0.5448,             0.32895,            0.040239,           0.0056772,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.036833,            0.016207,                   0,             0.50301,             0.67378,             0.58368,             0.35636,            0.040919,            0.005672,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.036595,            0.016439,                   0,             0.47485,             0.49157,             0.48217,             0.28021,            0.047092,            0.006565,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.036488,            0.015954,                   0,             0.49889,             0.63761,             0.56831,             0.38368,            0.037381,            0.005656,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.036508,            0.015958,                   0,             0.49686,             0.55899,             0.53967,             0.32712,            0.041172,            0.005989,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.035287,            0.014982,                   0,             0.55216,             0.62921,             0.60184,             0.36931,            0.035976,           0.0057668,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.03501,             0.01541,                   0,              0.5826,             0.66292,             0.62364,             0.40771,            0.033557,           0.0054989,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.034133,            0.015287,                   0,             0.58691,             0.67416,             0.64281,             0.42443,            0.034433,           0.0052264,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.034687,            0.016016,                   0,             0.59601,             0.60919,             0.61517,             0.39557,            0.037802,           0.0053753,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.033193,            0.014916,                   0,             0.54197,             0.69801,             0.61372,             0.42348,            0.034902,           0.0053951,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.033435,            0.014603,                   0,             0.51077,             0.65449,             0.52117,             0.32785,             0.03555,           0.0052632,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.032679,            0.015094,                   0,             0.58585,             0.60398,             0.60087,             0.41483,            0.036638,           0.0055021,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.031449,            0.014975,                   0,             0.53011,             0.60845,             0.52193,             0.32552,            0.039867,           0.0055199,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.031675,            0.014033,                   0,             0.62971,              0.6236,             0.66579,               0.473,            0.032652,           0.0049762,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.031198,             0.01399,                   0,             0.51704,             0.66573,             0.62863,             0.42325,            0.032204,           0.0050585,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.030603,            0.014042,                   0,             0.67494,             0.69663,             0.73231,             0.50519,            0.032699,           0.0048278,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.03091,             0.01434,                   0,             0.61032,             0.77247,             0.74977,             0.51218,            0.031998,           0.0047774,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.031454,            0.014103,                   0,             0.64746,             0.64888,             0.70572,             0.49959,             0.03308,           0.0049301,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.031059,            0.013571,                   0,             0.55569,              0.7202,             0.68116,             0.46317,            0.032527,           0.0051377,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.031105,            0.013513,                   0,             0.55993,             0.70051,             0.64304,             0.43862,            0.032286,           0.0055967,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.030364,            0.013623,                   0,             0.60048,              0.7191,             0.67394,             0.47095,            0.032785,           0.0053091,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.029971,            0.013945,                   0,             0.72276,             0.71629,              0.7747,             0.52237,            0.034499,           0.0047275,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.029688,            0.013336,                   0,             0.71773,             0.67135,             0.73565,             0.51425,            0.031042,           0.0046761,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.02948,            0.013496,                   0,              0.6329,             0.74157,             0.70513,             0.51825,            0.032907,           0.0048283,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.029157,            0.012727,                   0,             0.70681,              0.7191,             0.75684,             0.54221,            0.029056,           0.0046034,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.028985,            0.012832,                   0,             0.67388,             0.69663,             0.72931,             0.53349,             0.03309,           0.0050174,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.029154,            0.012638,                   0,             0.70052,             0.71629,             0.76824,             0.55605,            0.031768,           0.0045787,                   0,            0.008746,            0.008746,            0.008746
